"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
500,"sged","std","alpha1",0.15,0.16647888511012,0.0164788851101201,0.0538155447061533,0.00496067032641414,0.070432026283603,"Skewed GED","Student-t"
500,"sged","std","beta1",0.9,0.877957621273864,-0.0220423787261356,0.0601305229323165,0.011835305470441,0.108790190138822,"Skewed GED","Student-t"
500,"sged","std","gamma1",0.1,0.0721586169776057,-0.0278413830223943,0.078323504401743,0.010265723082581,0.1013199046712,"Skewed GED","Student-t"
500,"sged","std","mu",0,0.06558551063024,0.06558551063024,0.0662160023370517,0.0055657402896557,0.074603889239474,"Skewed GED","Student-t"
500,"sged","std","omega",-0.1,-0.105290151400733,-0.00529015140073327,0.0596816837399372,0.0106058331941579,0.102984626008729,"Skewed GED","Student-t"
500,"sged","std","shape",1.5,7.81756635449196,6.31756635449196,6.31756635449196,76.1427958843352,8.72598394935122,"Skewed GED","Student-t"
500,"sged","std","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","Student-t"
500,"sstd","ged","alpha1",0.15,0.172022197159305,0.0220221971593052,0.0597991364600458,0.0063837401466932,0.0798983112881192,"Skewed Student-t","GED"
500,"sstd","ged","beta1",0.9,0.870950585780605,-0.029049414219395,0.0700699091830047,0.0166195231285864,0.128916729436433,"Skewed Student-t","GED"
500,"sstd","ged","gamma1",0.1,0.0779083520883936,-0.0220916479116065,0.090074021664508,0.0137720926213579,0.117354559440006,"Skewed Student-t","GED"
500,"sstd","ged","mu",0,0.0704326009775192,0.0704326009775192,0.0711017062014911,0.00640106948761537,0.0800066840183705,"Skewed Student-t","GED"
500,"sstd","ged","omega",-0.1,-0.113456373774099,-0.0134563737740993,0.0710187587414031,0.0160169761784821,0.126558192854047,"Skewed Student-t","GED"
500,"sstd","ged","shape",8,1.42139763272874,-6.57860236727126,6.57860236727126,43.3107867693406,6.58109312875457,"Skewed Student-t","GED"
500,"sstd","ged","skew",0.5,NA,NA,NA,NA,NA,"Skewed Student-t","GED"
500,"sstd","norm","alpha1",0.15,0.167750894233516,0.0177508942335156,0.059850085603821,0.00627257508499158,0.0791995901819674,"Skewed Student-t","Normal"
500,"sstd","norm","beta1",0.9,0.873248530066321,-0.0267514699336791,0.0764857204157068,0.0191390461431013,0.138343941475951,"Skewed Student-t","Normal"
500,"sstd","norm","gamma1",0.1,0.0756003345758443,-0.0243996654241557,0.0963046396910977,0.0155342598455019,0.12463651088466,"Skewed Student-t","Normal"
500,"sstd","norm","mu",0,0.00881575501645671,0.00881575501645671,0.0230579053726392,0.00087458605160844,0.0295734010828724,"Skewed Student-t","Normal"
500,"sstd","norm","omega",-0.1,-0.126423062268811,-0.0264230622688109,0.0779731094675783,0.0200118268261926,0.141463164202532,"Skewed Student-t","Normal"
500,"sstd","norm","shape",8,NA,NA,NA,NA,NA,"Skewed Student-t","Normal"
500,"sstd","norm","skew",0.5,NA,NA,NA,NA,NA,"Skewed Student-t","Normal"
500,"sstd","sged","alpha1",0.15,0.152137469980178,0.00213746998017844,0.0339937206886645,0.00190176357933398,0.0436092143856546,"Skewed Student-t","Skewed GED"
500,"sstd","sged","beta1",0.9,0.886572679099919,-0.0134273209000815,0.0408321318064866,0.00359362236988051,0.0599468295231742,"Skewed Student-t","Skewed GED"
500,"sstd","sged","gamma1",0.1,0.0861930793790786,-0.0138069206209214,0.0505724899067228,0.00408976896359967,0.063951301500436,"Skewed Student-t","Skewed GED"
500,"sstd","sged","mu",0,0.00208535715957802,0.00208535715957802,0.0207497137346922,0.000691318931143949,0.0262929445126245,"Skewed Student-t","Skewed GED"
500,"sstd","sged","omega",-0.1,-0.114247834289634,-0.0142478342896341,0.0422441547613568,0.00382231128414896,0.0618248435836999,"Skewed Student-t","Skewed GED"
500,"sstd","sged","shape",8,1.51617895345895,-6.48382104654105,6.48382104654105,42.0637311510854,6.48565579961544,"Skewed Student-t","Skewed GED"
500,"sstd","sged","skew",0.5,0.491837782818826,-0.00816221718117409,0.0338262513195245,0.00184371844463821,0.0429385426468833,"Skewed Student-t","Skewed GED"
500,"sstd","sstd","alpha1",0.15,0.152786969018166,0.00278696901816625,0.03339542069189,0.00181878368988917,0.0426472002585067,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","beta1",0.9,0.8871407729101,-0.0128592270898999,0.039694142187385,0.00327413497205934,0.0572200574279626,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","gamma1",0.1,0.088003497213406,-0.011996502786594,0.0497844009073009,0.0039719857366268,0.0630236918676366,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","mu",0,0.000883707085625519,0.000883707085625519,0.020503785004056,0.000680249314463472,0.0260815895693394,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","omega",-0.1,-0.113819128671377,-0.0138191286713769,0.0410624465290782,0.00354214656735905,0.0595159354069064,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","shape",8,10.7326186541008,2.73261865410084,3.97285198709328,71.1485715113597,8.43496126318075,"Skewed Student-t","Skewed Student-t"
500,"sstd","sstd","skew",0.5,0.49068708310077,-0.00931291689922946,0.0334957110372719,0.00179993634320071,0.0424256566619859,"Skewed Student-t","Skewed Student-t"
500,"sstd","std","alpha1",0.15,0.172563337764236,0.0225633377642359,0.0552349360440524,0.00527327294764973,0.0726173047396399,"Skewed Student-t","Student-t"
500,"sstd","std","beta1",0.9,0.874463160082862,-0.0255368399171379,0.0625478500839441,0.0114177387480717,0.106853819529635,"Skewed Student-t","Student-t"
500,"sstd","std","gamma1",0.1,0.0834076718940536,-0.0165923281059464,0.0811418956703822,0.0113149554643111,0.106371779454473,"Skewed Student-t","Student-t"
500,"sstd","std","mu",0,0.0692422833337675,0.0692422833337675,0.0695517723965007,0.00589619048746667,0.0767866556601254,"Skewed Student-t","Student-t"
500,"sstd","std","omega",-0.1,-0.108873257300232,-0.00887325730023179,0.0629619897426747,0.0104928479223229,0.102434603149146,"Skewed Student-t","Student-t"
500,"sstd","std","shape",8,6.63066802144832,-1.36933197855168,2.56681568494652,15.5817426347921,3.94737161093202,"Skewed Student-t","Student-t"
500,"sstd","std","skew",0.5,NA,NA,NA,NA,NA,"Skewed Student-t","Student-t"
500,"std","ged","alpha1",0.15,0.159991281052529,0.00999128105252909,0.0400402609949115,0.00260411005327876,0.0510304816093162,"Student-t","GED"
500,"std","ged","beta1",0.9,0.880973432663012,-0.0190265673369884,0.0478227650988286,0.00580865460257231,0.0762145301276096,"Student-t","GED"
500,"std","ged","gamma1",0.1,0.0749248160417664,-0.0250751839582336,0.0642560602660029,0.00688556945267081,0.0829793314788135,"Student-t","GED"
500,"std","ged","mu",0,0.00162653862553037,0.00162653862553037,0.0204898830109323,0.00067065493447668,0.0258970062840607,"Student-t","GED"
500,"std","ged","omega",-0.1,-0.121434208924875,-0.0214342089248746,0.0502908297537136,0.00683165727986509,0.0826538400793641,"Student-t","GED"
500,"std","ged","shape",8,1.52944243506658,-6.47055756493342,6.47055756493342,41.8930300504312,6.47248252608157,"Student-t","GED"
500,"std","ged","skew",NA,NA,NA,NA,NA,NA,"Student-t","GED"
500,"std","norm","alpha1",0.15,0.161399209639131,0.0113992096391314,0.04276803250427,0.002996825671363,0.0547432705577864,"Student-t","Normal"
500,"std","norm","beta1",0.9,0.876808686972104,-0.0231913130278959,0.0529890545248107,0.00801017155389451,0.0894995617525276,"Student-t","Normal"
500,"std","norm","gamma1",0.1,0.0773216820435684,-0.0226783179564316,0.0686913870973652,0.00788932914101337,0.0888218956170908,"Student-t","Normal"
500,"std","norm","mu",0,0.00190043365683801,0.00190043365683801,0.020991353028908,0.000697373199153266,0.0264078245819921,"Student-t","Normal"
500,"std","norm","omega",-0.1,-0.122934893626896,-0.0229348936268962,0.0546176990402958,0.0089730737127632,0.0947263095067215,"Student-t","Normal"
500,"std","norm","shape",8,NA,NA,NA,NA,NA,"Student-t","Normal"
500,"std","norm","skew",NA,NA,NA,NA,NA,NA,"Student-t","Normal"
500,"std","sged","alpha1",0.15,0.160334040464737,0.0103340404647372,0.0404691588732922,0.0026857426179266,0.0518241509137062,"Student-t","Skewed GED"
