"n","true_dist","assumed_dist","convergence_rate","mean_AIC","sd_AIC","mean_BIC","sd_BIC","mean_loglik","mean_MSE","mean_RMSE","mean_MAE","median_MSE","median_RMSE","median_MAE","mean_sigma_rmse","median_sigma_rmse","mean_variance_rmse","median_variance_rmse","true_dist_label","assumed_dist_label"
500,"sged","ged",1,1.81783341313705,0.0837466074606644,1.86840871031812,0.0837466074606644,-448.458353284263,0.00378443266274288,0.0554541248801403,0.0448398158974801,0.00249261826843196,0.0499260680226693,0.0406004330607057,0.0554541248801403,0.0499260680226693,0.0717142469788108,0.0634889525679271,"Skewed GED","GED"
500,"sged","norm",1,1.83790494567548,0.0890556021851649,1.88005102665971,0.0890556021851649,-454.476236418871,0.00380455532117025,0.0560313595820859,0.0452773646696019,0.00270027298165537,0.0519641499898945,0.0418569424706427,0.0560313595820859,0.0519641499898945,0.0723818552365738,0.0652708176732238,"Skewed GED","Normal"
500,"sged","sged",1,1.6234913652287,0.0726134537737175,1.68249587860661,0.0726134537737175,-398.872841307175,0.00162970955539642,0.0371670046727579,0.0308936401555694,0.00124069819028078,0.0352235123206709,0.0288936436092148,0.0371670046727579,0.0352235123206709,0.0474824595450359,0.044525445569866,"Skewed GED","Skewed GED"
500,"sged","sstd",1,1.62691285181721,0.0736534659401475,1.68591736519512,0.0736534659401475,-399.728212954304,0.00174657472528979,0.0383163449714686,0.0320225116371843,0.00130296932204764,0.0360966637292244,0.0299131410068735,0.0383163449714686,0.0360966637292244,0.0490545524689873,0.0456121214278403,"Skewed GED","Skewed Student-t"
500,"sged","std",1,1.80171800174178,0.082474309928448,1.85229329892285,0.082474309928448,-444.429500435446,0.00364506278608316,0.0541450898852449,0.0441290184080647,0.00232510243056755,0.0482193028902175,0.039426482968821,0.0541450898852449,0.0482193028902175,0.0706555204837809,0.0614183092244624,"Skewed GED","Student-t"
500,"sstd","ged",1,1.79386366398866,0.090226688937594,1.84443896116973,0.090226688937594,-442.465915997165,0.0043024791893776,0.0594394697156281,0.0481567481470853,0.00291254571411777,0.0539679968364618,0.0439950166140848,0.0594394697156281,0.0539679968364618,0.0766613418966824,0.067813935872744,"Skewed Student-t","GED"
500,"sstd","norm",1,1.82906142954187,0.103376740464944,1.87120751052609,0.103376740464944,-452.265357385466,0.00504860399268073,0.0643693960735281,0.0520373528335766,0.00331616758199813,0.0575861566419191,0.0469435457600978,0.0643693960735281,0.0575861566419191,0.083371086487034,0.0738317461272707,"Skewed Student-t","Normal"
500,"sstd","sged",1,1.61078572815958,0.078051202479794,1.66979024153749,0.078051202479794,-395.696432039895,0.00186438785057368,0.0397860493992686,0.0333183503152509,0.00137823346380332,0.0371245649582368,0.0304981743604317,0.0397860493992686,0.0371245649582368,0.0507205974472102,0.0473454405603803,"Skewed Student-t","Skewed GED"
500,"sstd","sstd",1,1.60801744456969,0.0780939700677438,1.6670219579476,0.0780939700677438,-395.004361142422,0.00199060865696448,0.0407460855005883,0.0343928844695948,0.0014323218015987,0.037846026606532,0.0317501781466559,0.0407460855005883,0.037846026606532,0.0523052956871095,0.0476842473255024,"Skewed Student-t","Skewed Student-t"
500,"sstd","std",1,1.77043075810807,0.0875144061494043,1.82100605528914,0.0875144061494043,-436.607689527019,0.00391754283504629,0.0562646889403612,0.0459240030919438,0.00260812300899586,0.0510697717996079,0.042203407084013,0.0562646889403612,0.0510697717996079,0.0733338221497492,0.0646445078536397,"Skewed Student-t","Student-t"
